Entity,Code,Year,Share that disagrees vaccines are effective
Croatia,HRV,2023,31
Cyprus,CYP,2020,10.5
Cyprus,CYP,2022,15.139442
Czechia,CZE,2015,7
Czechia,CZE,2019,7.107107
Czechia,CZE,2020,7
Czechia,CZE,2022,21.1
Democratic Republic of Congo,COD,2015,9
Democratic Republic of Congo,COD,2020,25.986065
Democratic Republic of Congo,COD,2022,29.327778
Democratic Republic of Congo,COD,2023,16
Denmark,DNK,2015,4
Denmark,DNK,2020,2
Denmark,DNK,2022,8.191808
Denmark,DNK,2023,13
Ecuador,ECU,2015,2
Ecuador,ECU,2019,4.778157
Ecuador,ECU,2020,10
Egypt,EGY,2023,15
Estonia,EST,2020,7
Estonia,EST,2022,16
Estonia,EST,2023,21
Ethiopia,ETH,2015,2
Ethiopia,ETH,2020,9.44514
Ethiopia,ETH,2023,4
Fiji,FJI,2015,12
Fiji,FJI,2021,9
Fiji,FJI,2022,18
Finland,FIN,2015,4
Finland,FIN,2019,1.8025079
Finland,FIN,2020,3
Finland,FIN,2022,9.099999
Finland,FIN,2023,14
France,FRA,2015,17
France,FRA,2019,14.479166
France,FRA,2020,12
France,FRA,2022,14.985015
France,FRA,2023,23.99005
Gabon,GAB,2020,24
Georgia,GEO,2015,8
Georgia,GEO,2023,24
Germany,DEU,2015,9
Germany,DEU,2019,10.36961
Germany,DEU,2020,10
Germany,DEU,2022,10.989011
Germany,DEU,2023,21
Ghana,GHA,2015,8
Ghana,GHA,2022,26.505545
Ghana,GHA,2023,18.467684
Ghana,GHA,2024,14
Greece,GRC,2015,17
Greece,GRC,2020,8
Greece,GRC,2022,14.8
Greece,GRC,2023,23
Hong Kong,HKG,2015,13
Hong Kong,HKG,2019,14.913958
Hong Kong,HKG,2023,20
Hungary,HUN,2020,7
Hungary,HUN,2022,15.7
Hungary,HUN,2023,36.498753
Iceland,ISL,2015,3
India,IND,2015,7
India,IND,2019,4.1874375
India,IND,2020,5
India,IND,2022,2
India,IND,2023,8
Indonesia,IDN,2015,7
Indonesia,IDN,2019,10.35818
Indonesia,IDN,2022,14
Indonesia,IDN,2023,17
Indonesia,IDN,2024,16
Iran,IRN,2015,8
Iraq,IRQ,2019,5.2999997
Iraq,IRQ,2023,20
Ireland,IRL,2015,6
Ireland,IRL,2019,6.9238377
Ireland,IRL,2020,8
Ireland,IRL,2022,8.2
Ireland,IRL,2023,16
Israel,ISR,2023,24
Italy,ITA,2015,17
Italy,ITA,2019,7.2538857
Italy,ITA,2020,10
Italy,ITA,2022,8.7
Italy,ITA,2023,21.497513
Japan,JPN,2015,10
Japan,JPN,2019,7.979185
Japan,JPN,2021,9
Japan,JPN,2022,12
Japan,JPN,2023,27
Kazakhstan,KAZ,2019,19.125
Kazakhstan,KAZ,2023,25
Kenya,KEN,2020,22
Kenya,KEN,2021,22.500233
Kenya,KEN,2022,15.02569
Kenya,KEN,2023,15.998613
Kenya,KEN,2024,15
Kosovo,OWID_KOS,2015,4
Kosovo,OWID_KOS,2019,5.6268506
Laos,LAO,2021,7
Laos,LAO,2022,9
Latvia,LVA,2015,14
Latvia,LVA,2020,15
Latvia,LVA,2022,32.067932
Latvia,LVA,2023,43
Lebanon,LBN,2015,9
Lebanon,LBN,2020,7
Liberia,LBR,2022,21
Liberia,LBR,2023,20
Libya,LBY,2021,18
Libya,LBY,2022,25
Libya,LBY,2023,16
Libya,LBY,2024,29
Lithuania,LTU,2020,8
Lithuania,LTU,2022,20
Lithuania,LTU,2023,31
Luxembourg,LUX,2020,7
Luxembourg,LUX,2022,7.2
Malawi,MWI,2020,7
Malaysia,MYS,2019,20.29703
Malaysia,MYS,2021,10
Malaysia,MYS,2022,17
Malaysia,MYS,2023,18
Malaysia,MYS,2024,11
Mali,MLI,2016,3
Mali,MLI,2022,10.365384
Mali,MLI,2023,14.003147
Mali,MLI,2024,7
Malta,MLT,2020,12
Malta,MLT,2022,18.199999
Mauritania,MRT,2016,3
Mexico,MEX,2015,14
Mexico,MEX,2019,10.6
Mexico,MEX,2022,5
Mexico,MEX,2023,9
Mexico,MEX,2024,7
Mongolia,MNG,2015,7
Mongolia,MNG,2021,19
Mongolia,MNG,2022,15.999999
Morocco,MAR,2015,5
Morocco,MAR,2020,14
Netherlands,NLD,2015,7
Netherlands,NLD,2020,12
Netherlands,NLD,2022,20.6
Netherlands,NLD,2023,21
New Zealand,NZL,2022,11
New Zealand,NZL,2023,16
Niger,NER,2016,4
Niger,NER,2020,7
Niger,NER,2022,17.217407
Niger,NER,2023,5.4059496
Niger,NER,2024,3
Nigeria,NGA,2015,11
Nigeria,NGA,2016,5
Nigeria,NGA,2019,8.8
Nigeria,NGA,2020,9.515517
Nigeria,NGA,2022,16.516191
Nigeria,NGA,2023,10.492131
Nigeria,NGA,2024,11
North Macedonia,MKD,2015,11
North Macedonia,MKD,2019,16.76397
North Macedonia,MKD,2023,20
Norway,NOR,2023,12
Pakistan,PAK,2015,13
Pakistan,PAK,2019,17.5
Pakistan,PAK,2020,16
Pakistan,PAK,2022,19
Pakistan,PAK,2023,16
Palestine,PSE,2015,11
Panama,PAN,2015,5
Papua New Guinea,PNG,2015,10
Papua New Guinea,PNG,2021,46
Papua New Guinea,PNG,2022,46
Peru,PER,2015,8
Peru,PER,2019,6.9
Peru,PER,2020,11
Peru,PER,2022,8
Philippines,PHL,2015,3
Philippines,PHL,2019,7.7000003
Philippines,PHL,2022,14
Philippines,PHL,2023,17
Philippines,PHL,2024,4
Poland,POL,2015,10
Poland,POL,2019,9.251968
Poland,POL,2020,8
Poland,POL,2022,14.3
Poland,POL,2023,20
Portugal,PRT,2015,5
Portugal,PRT,2020,6
Portugal,PRT,2022,4.9
Portugal,PRT,2023,12
Qatar,QAT,2023,13
Romania,ROU,2015,16
Romania,ROU,2019,7.185629
Romania,ROU,2020,14
Romania,ROU,2022,16.2
Romania,ROU,2023,28
Russia,RUS,2015,18
Russia,RUS,2019,18.133333
Russia,RUS,2022,30
Russia,RUS,2023,26
Russia,RUS,2025,27
Saudi Arabia,SAU,2015,2
Saudi Arabia,SAU,2020,6
Saudi Arabia,SAU,2023,11
Senegal,SEN,2016,6
Senegal,SEN,2020,25
Senegal,SEN,2022,23
Senegal,SEN,2023,30.043945
Senegal,SEN,2024,8.14832
Serbia,SRB,2015,14
Serbia,SRB,2019,13.465346
Sierra Leone,SLE,2022,8
Sierra Leone,SLE,2023,14
Singapore,SGP,2024,10
Slovakia,SVK,2020,9
Slovakia,SVK,2022,27.3
Slovakia,SVK,2023,32
Slovenia,SVN,2015,17
Slovenia,SVN,2020,12
Slovenia,SVN,2022,24.800001
Slovenia,SVN,2023,38
Solomon Islands,SLB,2021,23
Solomon Islands,SLB,2022,27
Somalia,SOM,2021,21
Somalia,SOM,2023,9
Somalia,SOM,2024,4
South Africa,ZAF,2015,10
South Africa,ZAF,2020,23
South Africa,ZAF,2022,23.562065
South Africa,ZAF,2023,23
South Africa,ZAF,2024,16
South Korea,KOR,2015,7
South Korea,KOR,2019,7.7999997
South Korea,KOR,2020,5
South Korea,KOR,2021,12
South Korea,KOR,2022,18
South Korea,KOR,2023,23
South Sudan,SSD,2022,21
South Sudan,SSD,2023,19
Spain,ESP,2015,8
Spain,ESP,2019,5.830583
Spain,ESP,2020,6
Spain,ESP,2022,7.4
Spain,ESP,2023,15
Sudan,SDN,2020,20
Sudan,SDN,2021,16
Sudan,SDN,2022,15.9545
Sudan,SDN,2023,12
Sudan,SDN,2024,13
Sweden,SWE,2015,6
Sweden,SWE,2020,6
Sweden,SWE,2022,9.8
Sweden,SWE,2023,16
Switzerland,CHE,2023,24
Syria,SYR,2019,3.2069972
Syria,SYR,2022,24
Taiwan,TWN,2023,15
Tanzania,TZA,2023,24
Tanzania,TZA,2024,6
Thailand,THA,2015,6
Thailand,THA,2019,1.6666667
Thailand,THA,2023,15
Thailand,THA,2024,9
Tonga,TON,2021,7
Tonga,TON,2022,8
Tunisia,TUN,2015,5
Tunisia,TUN,2020,10
Tunisia,TUN,2021,33
Tunisia,TUN,2023,50.53125
Tunisia,TUN,2024,32
Turkey,TUR,2015,8
Turkey,TUR,2022,20
Turkey,TUR,2023,29
Uganda,UGA,2020,15
Uganda,UGA,2022,13.485972
Uganda,UGA,2023,13
Ukraine,UKR,2015,15
Ukraine,UKR,2023,33
United Arab Emirates,ARE,2023,16
United Kingdom,GBR,2015,7
United Kingdom,GBR,2019,6.5326633
United Kingdom,GBR,2020,8.333333
United Kingdom,GBR,2023,20
United States,USA,2015,10
United States,USA,2019,5.666004
United States,USA,2020,13.615502
United States,USA,2022,17
United States,USA,2023,18
Uruguay,URY,2022,7
Vanuatu,VUT,2021,11
Vanuatu,VUT,2022,20
Venezuela,VEN,2022,6
Vietnam,VNM,2015,4
Vietnam,VNM,2019,2.1956089
Vietnam,VNM,2021,5
Vietnam,VNM,2022,1
Vietnam,VNM,2023,1
Vietnam,VNM,2024,5
